Issue key,Issue id,Assignee,Status,Created,Labels,Labels,Labels,Labels,Issue Type,Resolved,Custom field (SLA дата наступления просрочки),Description,Custom field (description ),Custom field (Количество обращений),Custom field (Команда устраняющая проблему)
ADIRINC-1872,5841848,,NEW,08.11.2024 17:56,,,,,Дефект промсреды,,2024-12-20 00:00:00.0,"На примере AF8Y5N ГС 2825095, МТ Андройд 2.33.0

В карточке актива ВТБ (RU000A0JP5V6) в разделе новости отображаются новости не по данному активу и эмитенту.

!image-2024-11-08-17-57-49-043.png!

Будет исправлено в рамках задачи по фиксу: https://jira.moscow.alfaintra.net/browse/ADIRANALYT-14319?filter=-1",,1.0,
ADIRINC-1862,5833432,U_M25TF,NEW,07.11.2024 16:23,,,,,Дефект промсреды,,2024-12-19 00:00:00.0,"В МТ iOS 3.11 при создании уведомления по фьючерсу отображается в рублях - а должно быть в пунктах. PinEQ клиента: AMCEW5, ГС 850434. На примере GOLD-12.24.

 

 

!image-2024-11-07-16-26-54-975.png!",,,
ADIRINC-1860,5814218,U_M0DRY,NEW,05.11.2024 10:38,,,,,Дефект промсреды,,2024-12-17 00:00:00.0,"02.11.2024 наблюдали падение ЛС. Это произошло из за того что по просьбе аналитика Чикишева Д, был произведен апдейт.

Дима Чикишев пришел с [апдейтами инструментов|https://rc.alfa-bank.net/channel/adir_duty?msg=TYT9xxpHqFTjm7o3q] 837906(который привел к падению ЛС) и 837907, попросив проставить им признак того, что они просрочены (Expired = 1).
Из-за того, что в схеме bs.object и ts.objects не хранятся просроченные инструменты - они удаляются из таблицы в этих схемах.
В 16:30 были выполнены запрошенные апдейты и почти сразу же ЛС упал.



Необходимо произвести доработку ЛС которая бы не приводила к падению всего ЛС при недоступности инструмента в ts.objects 
https://rc.alfa-bank.net/channel/adir-avarii/thread/suiESiTa9Pw8mPLHc",,,
ADIRINC-1858,5809281,U_M1CUE,NEW,02.11.2024 17:33,,,,,Дефект промсреды,,2024-12-16 00:00:00.0,"Заявка *IM16847545 *

Описание дефекта со слов Глеба:

1) (+ДОРАБОТАТЬ!+) Клиенту показано не в маржу 10983 р. + столько же в маржу. (ГС 267351).
2) Тестирование:
Почему на уровне ЛК нет никакого оповещения, если клиент пытается вывести маржу.
(Заявка маржу -> ЛК инфа -> На фронте ""Пройти тестирование"".)
3) Почему бумага попала в маржу.
4) Почему числится ""-1"" штука. (_кассовый инструмент?_)
5) Как предотвратить из п.4?",,,
ADIRINC-1857,5807688,U_M1FE1,NEW,02.11.2024 14:03,,,,,Дефект промсреды,,2025-01-28 00:00:00.0,"На постоянной основе возникает ошибка на сервисе adir-dividend-info

Без влияния на клиентов 
{code:java}
""message"": ""An unhandled exception has occurred while executing the request."",    ""exception_"": ""{\""Message\"":\""A severe error occurred on the current command.  The results, if any, should be discarded.\\r\\nOperation cancelled by user.\"",\""Server\"":\""AD-P-DB-79.alfadirect.ru,1433\"",\""StackTrace\"":\""   at Microsoft.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj, SqlCommand command, Boolean callerHasConnectionLock, Boolean asyncClose)\\r\\n   at Microsoft.Data.SqlClient.TdsParser.TryRun(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj, Boolean& dataReady)\\r\\n   at Microsoft.Data.SqlClient.SqlDataReader.TryConsumeMetaData()\\r\\n   at Microsoft.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds, RunBehavior runBehavior, String resetOptionsString, Boolean isInternal, Boolean forDescribeParameterEncryption, Boolean shouldCacheForAlwaysEncrypted)\\r\\n   at Microsoft.Data.SqlClient.SqlCommand.RunExecuteReaderTds(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean isAsync, Int32 timeout, Task& task, Boolean asyncWrite, Boolean inRetry, SqlDataReader ds, Boolean describeParameterEncryptionRequest)\\r\\n   at Microsoft.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, TaskCompletionSource`1 completion, Int32 timeout, Task& task, Boolean& usedCache, Boolean asyncWrite, Boolean inRetry, String method)\\r\\n   at Microsoft.Data.SqlClient.SqlCommand.ExecuteReader(CommandBehavior behavior)\\r\\n   at AlfaDirect.DatabaseUtils.Connections.Logged.LoggedDbCommand.ExecuteDbDataReader(CommandBehavior behavior)\\r\\n   at System.Data.Common.DbCommand.ExecuteDbDataReaderAsync(CommandBehavior behavior, CancellationToken cancellationToken)\\r\\n--- End of stack trace from previous location ---\\r\\n   at Polly.Retry.AsyncRetryEngine.ImplementationAsync[TResult](Func`3 action, Context context, CancellationToken cancellationToken, ExceptionPredicates shouldRetryExceptionPredicates, ResultPredicates`1 shouldRetryResultPredicates, Func`5 onRetryAsync, Int32 permittedRetryCount, IEnumerable`1 sleepDurationsEnumerable, Func`4 sleepDurationProvider, Boolean continueOnCapturedContext)\\r\\n   at Polly.AsyncPolicy.ExecuteAsync[TResult](Func`3 action, Context context, CancellationToken cancellationToken, Boolean continueOnCapturedContext)\\r\\n   at Dapper.SqlMapper.QueryAsync[T](IDbConnection cnn, Type effectiveType, CommandDefinition command) in /_/Dapper/SqlMapper.Async.cs:line 434\\r\\n   at AlfaDirect.DatabaseUtils.Contexts.DbContexts.Classic.AdirDbContextExtensions.GetAsync[TInput,TResult](IAdirDbContext dbContext, String storedProcedureKey, TInput input, IDbConnection connection, CancellationToken cancellationToken)\\r\\n   at DividendApi.Library.Providers.CalendarProvider.GetCalendarByAssetAsync(IEnumerable`1 assetIds, Nullable`1 startDate, Nullable`1 endDate, Boolean isPortfolio, CancellationToken cancellationToken) in C:\\\\temp\\\\src\\\\DividendApi.Library\\\\Providers\\\\CalendarProvider.cs:line 107\\r\\n   at lambda_method33(Closure, Object)\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ActionMethodExecutor.AwaitableObjectResultExecutor.Execute(ActionContext actionContext, IActionResultTypeMapper mapper, ObjectMethodExecutor executor, Object controller, Object[] arguments)\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.<InvokeActionMethodAsync>g__Awaited|12_0(ControllerActionInvoker invoker, ValueTask`1 actionResultValueTask)\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.<InvokeNextActionFilterAsync>g__Awaited|10_0(ControllerActionInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.Rethrow(ActionExecutedContextSealed context)\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.Next(State& next, Scope& scope, Object& state, Boolean& isCompleted)\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.InvokeInnerFilterAsync()\\r\\n--- End of stack trace from previous location ---\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.<InvokeNextExceptionFilterAsync>g__Awaited|26_0(ResourceInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.Rethrow(ExceptionContextSealed context)\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.Next(State& next, Scope& scope, Object& state, Boolean& isCompleted)\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.InvokeFilterPipelineAsync()\\r\\n--- End of stack trace from previous location ---\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.<InvokeAsync>g__Awaited|17_0(ResourceInvoker invoker, Task task, IDisposable scope)\\r\\n   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.<InvokeAsync>g__Awaited|17_0(ResourceInvoker invoker, Task task, IDisposable scope)\\r\\n   at Microsoft.AspNetCore.Diagnostics.ExceptionHandlerMiddlewareImpl.<Invoke>g__Awaited|10_0(ExceptionHandlerMiddlewareImpl middleware, HttpContext context, Task task)\"",\""IsTransient\"":false,\""Data\"":{\""OriginalClientConnectionId\"":\""82c3e962-6f19-479e-9923-2edf27d55741\"",\""HelpLink_LinkId\"":\""20476\"",\""HelpLink_EvtSrc\"":\""MSSQLServer\"",\""HelpLink_EvtID\"":\""0\"",\""HelpLink_BaseHelpUrl\"":\""https://go.microsoft.com/fwlink\"",\""HelpLink_ProdName\"":\""Microsoft SQL Server\"",\""HelpLink_ProdVer\"":\""15.00.4385\"",\""RoutingDestination\"":\""AD-P-DB-79.alfadirect.ru,1433\""},\""TargetSite\"":\""Void ThrowExceptionAndWarning(Microsoft.Data.SqlClient.TdsParserStateObject, Microsoft.Data.SqlClient.SqlCommand, Boolean, Boolean)\"",\""LineNumber\"":0,\""Source\"":\""Core Microsoft SqlClient Data Provider\"",\""Errors\"":[{\""Message\"":\""A severe error occurred on the current command.  The results, if any, should be discarded.\"",\""Number\"":0,\""Server\"":\""AD-P-DB-79.alfadirect.ru,1433\"",\""State\"":0,\""Procedure\"":\""\"",\""Class\"":11,\""LineNumber\"":0,\""Source\"":\""Core Microsoft SqlClient Data Provider\""},{\""Message\"":\""Operation cancelled by user.\"",\""Number\"":0,\""Server\"":\""AD-P-DB-79.alfadirect.ru,1433\"",\""State\"":0,\""Procedure\"":\""\"",\""Class\"":11,\""LineNumber\"":0,\""Source\"":\""Core Microsoft SqlClient Data Provider\""}],\""Type\"":\""Microsoft.Data.SqlClient.SqlException\"",\""Number\"":0,\""HResult\"":-2146232060,\""State\"":0,\""ClientConnectionId\"":\""d109965e-5270-475e-bf87-fd0ef341c916\"",\""Procedure\"":\""\"",\""Class\"":11,\""ErrorCode\"":-2146232060}"",
{code}
!image-2024-11-02-14-00-42-563.png!

!image-2024-11-02-14-01-30-400.png!
 Ошибка обсуждалась на встрече 
ХП [actives].[match_isin]

 ",,,
ADIRINC-1856,5806613,U_M25TF,NEW,02.11.2024 12:04,,,,,Дефект промсреды,,2024-12-16 00:00:00.0,"У клиента в приложении ДТ 4.0.4263.1209 отображается некорректное отображение свечей инструмента IMOEX
!image-2024-11-02-12-03-27-210.png!
Ошибка воспроизводится только на ДТ

Связанные задачи
[https://rc.alfa-bank.net/channel/adir-terminal-support?msg=DBxoCFfo2PqjadhEW
]https://jira.moscow.alfaintra.net/browse/ADIRTERM-1768 [|https://rc.alfa-bank.net/channel/adir-terminal-support?msg=DBxoCFfo2PqjadhEW]",,1.0,
ADIRINC-1855,5806588,U_M1FE1,NEW,02.11.2024 11:52,,,,,Дефект промсреды,,2024-12-16 00:00:00.0,"Ошибка в том, что сервис Instruments-api и Fin-instruments-info получает пустое значение
[http://adirelkprod.alfadirect.ru/goto/a2fd6b1f9ddca2ebcf03771b0b160037]
[http://adlog1/kibana/goto/b893ced0-9907-11ef-9191-99b70cffc65d]




!image-2024-11-02-13-48-13-243.png!

Файл с логами во вложении

Предполагаем, что в [news_cache].[direct].[instruments] имеются пустые записи Act_id.
{code:java}
SELECT TOP (1000) act_id,*
  FROM [news_cache].[direct].[instruments] WITH (nolock)
  Where act_id is Null
{code}
Записи должны обладать данными в поле act_id
 !image-2024-11-02-11-51-45-640.png!",,,
ADIRINC-1854,5806550,U_M21WS,NEW,02.11.2024 11:41,,,,,Дефект промсреды,,2024-11-13 00:00:00.0,"У всех клиентов не отображаются ""Мои выплаты"" 
 Пин AJQK8M

!image-2024-11-02-11-38-47-566.png!

В сервисе instruments-api возвращается пустой массив данных.

Ручка /calendar/investments-calendar


{code:java}
curl -X POST adappr2:29646/calendar/investments-calendar -H 'CHANNEL-ID: I1' -H 'AUTH-USER-ID: AJQK8M' -H 'Content-Type: application/json' -d '{ ""account"" : { ""accountNumber"" : ""4461237"", ""subAccountNumber"" : ""000"" }, ""period"" : { ""startDate"" : ""2024-11-02"", ""endDate"" : ""2100-12-31"" }, ""types"" : [ ""COUPON"" ], ""bondsAssetIds"" : [""RU000A1077V4""] }'| jq
{code}

[http://adlog1/kibana/goto/f96cad70-9905-11ef-9191-99b70cffc65d]



!image-2024-11-02-13-35-46-870.png!

то есть мы получает ответ от ручки, но при этом в МТ не отображается,
файл с логами во вложении.",,,
ADIRINC-1853,5805687,U_M1QTQ,NEW,02.11.2024 10:41,,,,,Дефект промсреды,,2024-12-16 00:00:00.0,"После аукциона открытия в Стакане появляется заглушка о закрытии торгов и не исчезает после наступления времени открытия торгов. В Либе, статус у инструмента меняется 6, но заглушка не исчезает.

Необходимо доработать данную ситуацию так, чтоб заглушка пропадала сама, а не приходилось выходить из инструмента и заходить снова.",,1.0,
ADIRINC-1851,5795610,,NEW,31.10.2024 17:32,,,,,Дефект промсреды,,2024-11-11 00:00:00.0,"ГС 6975058 цб PIF13642833 (RU000A0JRXG8)
 Клиент обращается в связи с тем, что УЦ по бумаге равна 0.
 УЦ отправляется на пересчёт, расчёт корректный, новая цена ненулевая.
 но УЦ у клиента всё равно остаётся равной 0.

Обнаружен дефект в процедуре трансляции УЦ regp.export_regprices_adfront.
 !image-2024-10-31-17-30-29-639.png!
 Т.е. УЦ транслируется всегда *на инструмент в 4-ке с меньшим IdObject*.

Но в разбираемом случае инструмент в 4-ке с меньшим IdObject имеет признак, что он *выключен*:
 !image-2024-10-31-17-37-38-762.png!

В результате имеем, что УЦ протранслировалась на выключенный инструмент
 !image-2024-10-31-17-41-36-226.png!

А позиция у клиента есть на инструменте c IdObject, который включён
 !image-2024-10-31-17-44-34-330.png!

Устранение дефекта видим в исправлении кода процедуры с учётом признака IsEnabledObject и/или проверки трансляции на инструмент, на который у клиента есть позиция

Всего случаев, когда таблица ADFront.cf.RegPrices указывает на выключенный инструмент, в настоящее время 9058.  
 !image-2024-10-31-18-13-56-824.png!

 ",,,
